 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3300_600.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3300 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1200 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  52 2.46E+00 2.75E+03 1.06E+15 4.95E+01 7.87E+00   12   0  3.81E-05 5.33E+00 1.86E+00
  53 2.62E+00 2.71E+03 1.06E+15 4.98E+01 7.92E+00   12   0  3.98E-05 5.23E+00 1.82E+00
  54 2.79E+00 2.69E+03 1.07E+15 5.00E+01 7.96E+00   12   1  4.11E-05 5.16E+00 1.78E+00
  55 2.97E+00 2.65E+03 1.07E+15 5.04E+01 8.01E+00   12   1  4.29E-05 5.07E+00 1.74E+00
  56 3.16E+00 2.62E+03 1.08E+15 5.07E+01 8.06E+00   12   1  4.48E-05 4.98E+00 1.70E+00
  57 3.36E+00 2.59E+03 1.09E+15 5.10E+01 8.11E+00   12   1  4.68E-05 4.90E+00 1.67E+00
  58 3.58E+00 2.55E+03 1.09E+15 5.13E+01 8.17E+00   12   1  4.89E-05 4.82E+00 1.63E+00
  59 3.81E+00 2.51E+03 1.10E+15 5.18E+01 8.23E+00   12   1  5.13E-05 4.80E+00 1.58E+00
  60 4.06E+00 2.48E+03 1.11E+15 5.21E+01 8.29E+00   12   1  5.36E-05 4.72E+00 1.54E+00
  61 4.32E+00 2.45E+03 1.12E+15 5.24E+01 8.33E+00   11   0  5.58E-05 4.78E+00 1.49E+00
  62 4.60E+00 2.42E+03 1.12E+15 5.27E+01 8.38E+00   11   0  5.83E-05 4.71E+00 1.45E+00
  63 4.90E+00 2.39E+03 1.13E+15 5.31E+01 8.44E+00   11   0  6.09E-05 4.64E+00 1.42E+00
  64 5.22E+00 2.36E+03 1.14E+15 5.34E+01 8.50E+00   11   0  6.37E-05 4.58E+00 1.39E+00
  65 5.56E+00 2.33E+03 1.15E+15 5.38E+01 8.55E+00   11   0  6.66E-05 4.52E+00 1.36E+00
  66 5.92E+00 2.30E+03 1.15E+15 5.41E+01 8.61E+00   11   0  6.96E-05 4.46E+00 1.33E+00
  67 6.30E+00 2.26E+03 1.16E+15 5.45E+01 8.67E+00   11   0  7.28E-05 4.40E+00 1.30E+00
  68 6.71E+00 2.23E+03 1.17E+15 5.49E+01 8.73E+00   11   0  7.62E-05 4.35E+00 1.28E+00
  69 7.14E+00 2.20E+03 1.18E+15 5.53E+01 8.79E+00   11   0  7.97E-05 4.29E+00 1.25E+00
  70 7.61E+00 2.18E+03 1.18E+15 5.56E+01 8.84E+00   11   0  8.24E-05 4.26E+00 1.23E+00
  71 8.10E+00 2.15E+03 1.19E+15 5.60E+01 8.90E+00   11   0  8.63E-05 4.21E+00 1.20E+00
  72 8.62E+00 2.12E+03 1.20E+15 5.64E+01 8.96E+00   11   0  9.04E-05 4.16E+00 1.18E+00
  73 9.18E+00 2.09E+03 1.21E+15 5.68E+01 9.03E+00   11   0  9.47E-05 4.12E+00 1.15E+00
  74 9.78E+00 2.06E+03 1.22E+15 5.72E+01 9.10E+00   11   0  9.93E-05 4.07E+00 1.13E+00
  75 1.04E+01 2.02E+03 1.23E+15 5.77E+01 9.17E+00   11   0  1.04E-04 4.03E+00 1.11E+00
  76 1.11E+01 1.99E+03 1.24E+15 5.81E+01 9.24E+00   11   0  1.09E-04 3.99E+00 1.09E+00
  77 1.18E+01 1.96E+03 1.25E+15 5.86E+01 9.32E+00   11   0  1.15E-04 3.95E+00 1.07E+00
  78 1.26E+01 1.93E+03 1.26E+15 5.90E+01 9.39E+00   10   0  1.20E-04 3.91E+00 1.05E+00
  79 1.34E+01 1.90E+03 1.27E+15 5.95E+01 9.47E+00   10   0  1.26E-04 3.88E+00 1.03E+00
  80 1.42E+01 1.87E+03 1.28E+15 6.00E+01 9.55E+00   10   0  1.32E-04 3.85E+00 1.01E+00
  81 1.52E+01 1.84E+03 1.29E+15 6.05E+01 9.63E+00   10   0  1.39E-04 3.82E+00 9.96E-01
  82 1.62E+01 1.80E+03 1.30E+15 6.11E+01 9.71E+00   10   0  1.46E-04 3.79E+00 9.79E-01
  83 1.72E+01 1.77E+03 1.31E+15 6.16E+01 9.80E+00   10   1  1.54E-04 3.76E+00 9.63E-01
  84 1.83E+01 1.74E+03 1.33E+15 6.22E+01 9.89E+00   10   1  1.62E-04 3.73E+00 9.48E-01
  85 1.95E+01 1.71E+03 1.34E+15 6.28E+01 9.98E+00   10   1  1.70E-04 3.70E+00 9.33E-01
  86 2.08E+01 1.68E+03 1.35E+15 6.33E+01 1.01E+01   10   1  1.79E-04 3.67E+00 9.19E-01
  87 2.21E+01 1.65E+03 1.36E+15 6.38E+01 1.01E+01   10   1  1.87E-04 3.67E+00 9.01E-01
  88 2.35E+01 1.62E+03 1.37E+15 6.44E+01 1.02E+01   10   1  1.97E-04 3.64E+00 8.88E-01
  89 2.51E+01 1.59E+03 1.39E+15 6.51E+01 1.03E+01   10   1  2.07E-04 3.62E+00 8.76E-01
  90 2.67E+01 1.55E+03 1.41E+15 6.60E+01 1.05E+01   10   1  2.18E-04 3.60E+00 8.59E-01
  91 2.84E+01 1.51E+03 1.42E+15 6.67E+01 1.06E+01   10   1  2.29E-04 3.57E+00 8.48E-01
  92 3.03E+01 1.48E+03 1.44E+15 6.74E+01 1.07E+01   10   1  2.42E-04 3.55E+00 8.37E-01
  93 3.22E+01 1.45E+03 1.45E+15 6.82E+01 1.08E+01   10   1  2.56E-04 3.52E+00 8.27E-01
  94 3.43E+01 1.42E+03 1.47E+15 6.89E+01 1.10E+01    9   1 2.70E-04 3.49E+00 8.17E-01
  95 3.65E+01 1.38E+03 1.49E+15 6.98E+01 1.11E+01    9   2 2.85E-04 3.47E+00 8.08E-01
  96 3.89E+01 1.35E+03 1.51E+15 7.06E+01 1.12E+01    9   2 3.02E-04 3.44E+00 7.99E-01
  97 4.14E+01 1.32E+03 1.52E+15 7.15E+01 1.14E+01    9   2 3.19E-04 3.41E+00 7.91E-01
  98 4.41E+01 1.28E+03 1.54E+15 7.24E+01 1.15E+01    9   2 3.38E-04 3.39E+00 7.83E-01
  99 4.70E+01 1.25E+03 1.57E+15 7.34E+01 1.17E+01    9   2 3.58E-04 3.36E+00 7.75E-01
 100 5.00E+01 1.21E+03 1.59E+15 7.44E+01 1.18E+01    9   2 3.79E-04 3.33E+00 7.68E-01
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
